iter	Passed	Remaining
0	146	145996
1	147	73505
2	148	49453
3	150	37476
4	152	30396
5	154	25632
6	155	22097
7	156	19460
8	158	17397
9	159	15755
10	160	14405
11	161	13272
12	162	12303
13	163	11483
14	163	10765
15	164	10140
16	166	9610
17	167	9136
18	168	8706
19	169	8316
20	170	7966
21	172	7661
22	173	7371
23	174	7097
24	175	6847
25	176	6615
26	177	6409
27	178	6204
28	179	6022
29	181	5860
30	182	5713
31	184	5568
32	185	5437
33	187	5335
34	188	5207
35	190	5090
36	191	4972
37	192	4867
38	193	4770
39	194	4671
40	195	4583
41	197	4494
42	198	4412
43	199	4334
44	200	4258
45	201	4181
46	202	4109
47	203	4041
48	204	3976
49	205	3911
50	206	3851
51	208	3800
52	209	3745
53	210	3695
54	212	3646
55	213	3598
56	214	3550
57	215	3507
58	217	3461
59	218	3417
60	219	3374
61	220	3333
62	221	3293
63	222	3254
64	223	3216
65	225	3191
66	226	3158
67	227	3122
68	228	3088
69	230	3056
70	231	3024
71	232	2994
72	233	2964
73	234	2934
74	235	2906
75	236	2879
76	237	2851
77	238	2823
78	240	2801
79	241	2776
80	242	2756
81	244	2731
82	244	2702
83	245	2680
84	246	2658
85	248	2636
86	249	2614
87	250	2595
88	251	2574
89	252	2556
90	257	2571
91	262	2586
92	265	2586
93	267	2573
94	268	2554
95	270	2550
96	272	2538
97	275	2531
98	277	2529
99	279	2513
100	280	2500
101	285	2514
102	287	2502
103	289	2491
104	294	2514
105	297	2505
106	304	2538
107	306	2529
108	308	2519
109	310	2514
110	312	2499
111	316	2506
112	323	2537
113	325	2530
114	327	2519
115	330	2518
116	331	2504
117	333	2493
118	336	2488
119	338	2478
120	339	2467
121	341	2457
122	343	2445
123	347	2451
124	348	2437
125	349	2426
126	351	2418
127	355	2421
128	357	2412
129	359	2408
130	363	2413
131	365	2402
132	366	2391
133	368	2382
134	370	2374
135	372	2369
136	374	2360
137	377	2356
138	379	2348
139	381	2344
140	386	2353
141	388	2350
142	391	2344
143	393	2339
144	396	2335
145	399	2338
146	404	2348
147	406	2337
148	407	2327
149	408	2316
150	410	2307
151	413	2308
152	415	2298
153	418	2298
154	420	2292
155	421	2282
156	423	2271
157	424	2260
158	425	2252
159	427	2246
160	429	2236
161	431	2230
162	433	2225
163	434	2216
164	436	2210
165	438	2202
166	442	2207
